DAYS,TIMES,LAT,LNG,TIME_DIFF,SPEED,CELLLAT,CELLLNG
20211026,62715,30.346201,120.070148,5,6.74281677,30.345836,120.068504
20211026,62720,30.346439,120.070351,5,6.57216026,30.345464,120.068962
20211026,62725,30.346646,120.070573,5,6.272547979,30.342111,120.065902
20211026,62730,30.346818,120.070778,5,5.487296517,30.342111,120.065902
20211026,62745,30.347166,120.071143,5,5.611217734,30.342111,120.065902
20211026,62750,30.347376,120.071308,5,5.642547488,30.342111,120.065902
20211026,62755,30.347528,120.071431,5,4.122993504,30.342111,120.065902
20211026,62810,30.347856,120.071751,5,4.94852771,30.348243,120.073707
20211026,62815,30.348105,120.071998,5,7.289354121,30.348243,120.073707
20211026,62820,30.348335,120.072243,5,6.947737627,30.348243,120.073707
20211026,62825,30.348364,120.072533,5,5.602794939,30.348243,120.073707
20211026,62830,30.348139,120.072775,5,6.827007444,30.348243,120.073707
20211026,62835,30.347878,120.073028,5,7.56746165,30.348243,120.073707
20211026,62840,30.347604,120.073296,5,7.974004924,30.348243,120.073707
20211026,62845,30.347308,120.073526,5,7.92570947,30.348243,120.073707
20211026,62850,30.347063,120.073753,5,6.976114669,30.348243,120.073707
20211026,62855,30.346783,120.074026,5,8.137904037,30.348243,120.073707
20211026,62900,30.346468,120.074328,5,9.092151056,30.348243,120.073707
20211026,62905,30.34614,120.074641,5,9.449516608,30.344009,120.078247
20211026,62910,30.345806,120.074945,5,9.445242725,30.344009,120.078247
20211026,62915,30.345471,120.075208,5,8.998950537,30.344009,120.078247
20211026,62920,30.34523,120.075433,5,6.882754498,30.344009,120.078247
20211026,62925,30.345005,120.07565,5,6.510184791,30.344009,120.078247
20211026,62930,30.344763,120.075866,5,6.793339631,30.344009,120.078247
20211026,62935,30.344511,120.076081,5,6.959454587,30.344009,120.078247
20211026,62940,30.344258,120.076303,5,7.057676075,30.344009,120.078247
20211026,62945,30.344005,120.076535,5,7.175178903,30.344009,120.078247
20211026,62950,30.343741,120.076731,5,6.972832369,30.344009,120.078247
20211026,62955,30.343506,120.076956,5,6.77942156,30.344898,120.077995
20211026,63000,30.3433,120.077168,5,6.127237121,30.344009,120.078247
20211026,63005,30.343114,120.077375,5,5.735321453,30.344898,120.077995
20211026,63010,30.342881,120.077541,5,6.082801071,30.344898,120.077995
20211026,63015,30.342716,120.077678,5,4.514253618,30.344898,120.077995
20211026,63020,30.342551,120.077826,5,4.64038745,30.341991,120.078536
20211026,63025,30.342371,120.07805,5,5.874282035,30.341991,120.078536
20211026,63030,30.342155,120.078246,5,6.101293873,30.341991,120.078536
20211026,63035,30.341956,120.078428,5,5.638009391,30.341991,120.078536
20211026,63040,30.341766,120.078598,5,5.338541924,30.341991,120.078536
20211026,63219,30.341128,120.07918,5,5.367702541,30.341991,120.078536
20211026,63224,30.340868,120.079308,5,6.28239705,30.339267,120.078681
20211026,63229,30.340595,120.07942,5,6.440564672,30.339267,120.078681
20211026,63234,30.340306,120.079573,5,7.066150333,30.339267,120.078681
20211026,63239,30.34001,120.079706,5,7.060357286,30.342693,120.081932
20211026,63244,30.339708,120.079841,5,7.198654639,30.341522,120.080856
20211026,63249,30.339413,120.079986,5,7.12640215,30.341522,120.080856
20211026,63254,30.339118,120.080136,5,7.164418643,30.341522,120.080856
20211026,63259,30.338828,120.080276,5,6.986700546,30.335901,120.074806
20211026,63304,30.338536,120.080391,5,6.858670595,30.341522,120.080856
20211026,63309,30.338328,120.080465,5,4.838872963,30.341522,120.080856
20211026,63314,30.338173,120.080591,5,4.210765722,30.335901,120.074806
20211026,63319,30.337981,120.080675,5,4.564130244,30.336776,120.081596
20211026,63358,30.338071,120.08178,5,6.423525814,30.33592,120.083717
20211026,63403,30.338216,120.082151,5,7.81693376,30.33592,120.083717
20211026,63409,30.338348,120.082421,6,4.963292564,30.33592,120.083717
20211026,63414,30.338483,120.082816,5,8.154256446,30.33592,120.083717
20211026,63419,30.33861,120.08317,5,7.358145543,30.337444,120.087173
20211026,63424,30.338731,120.08353,5,7.415150341,30.337444,120.087173
20211026,63429,30.338853,120.083874,5,7.138255128,30.337444,120.087173
20211026,63434,30.338983,120.084213,5,7.119949286,30.337444,120.087173
20211026,63439,30.33913,120.084525,5,6.822570275,30.337444,120.087173
20211026,63444,30.339291,120.08489,5,7.867523973,30.337444,120.087173
20211026,63449,30.33943,120.085215,5,6.961759364,30.337444,120.087173
20211026,63454,30.33958,120.085528,5,6.87153634,30.337444,120.087173
20211026,63459,30.339798,120.085871,5,8.17580301,30.337444,120.087173
20211026,63504,30.340041,120.08627,5,9.372865494,30.342315,120.087539
20211026,63509,30.340214,120.08663,5,7.908474277,30.342315,120.087539
20211026,63514,30.340373,120.086896,5,6.210339927,30.342315,120.087539
20211026,63524,30.340619,120.087241,5,4.971459304,30.342315,120.087539
20211026,63529,30.340798,120.087526,5,6.765181774,30.342315,120.087539
20211026,63534,30.34096,120.087839,5,7.004917151,30.342315,120.087539
20211026,63539,30.341128,120.0881,5,6.249227628,30.33962,120.087524
20211026,63544,30.341258,120.088373,5,5.984362297,30.33962,120.087524
20211026,63549,30.341416,120.08867,5,6.696274716,30.33962,120.087524
20211026,63554,30.341563,120.088915,5,5.726986757,30.339815,120.089759
20211026,63559,30.341716,120.089194,5,6.34440998,30.345989,120.088783
20211026,63604,30.341865,120.089511,5,6.927965854,30.339815,120.089759
20211026,63609,30.342048,120.089853,5,7.723211606,30.345222,120.094223
20211026,63614,30.342208,120.090128,5,6.365428114,30.340784,120.086875
20211026,63619,30.342371,120.090426,5,6.771440321,30.340179,120.089378
20211026,63624,30.342556,120.090773,5,7.828201725,30.340179,120.089378
20211026,63629,30.342723,120.091114,5,7.525039006,30.340095,120.092239
20211026,63634,30.342891,120.091425,5,7.041797751,30.340095,120.092239
20211026,63639,30.342946,120.091643,5,4.359135557,30.343624,120.094345
20211026,63644,30.342808,120.091793,5,4.207939446,30.343624,120.094345
20211026,63649,30.342558,120.091961,5,6.42708865,30.339746,120.092002
20211026,63654,30.342273,120.092126,5,7.085231237,30.339746,120.092002
20211026,63659,30.341998,120.092303,5,6.995904958,30.339746,120.092002
20211026,63704,30.341765,120.092496,5,6.369532861,30.339746,120.092002
20211026,63709,30.34154,120.0926,5,5.387211407,30.340347,120.091636
20211026,63719,30.341218,120.09279,5,4.724805992,30.339746,120.092002
20211026,63724,30.341005,120.092918,5,5.33607653,30.339746,120.092002
20211026,63734,30.340715,120.09317,5,4.294731199,30.339746,120.092002
20211026,63739,30.340545,120.093331,5,4.882816255,30.339746,120.092002
20211026,63744,30.34039,120.093478,5,4.454481902,30.339746,120.092002
20211026,63749,30.340223,120.093626,5,4.675679607,30.339746,120.092002
20211026,65146,30.339535,120.094353,5,6.072004911,30.33974,120.091369
20211026,65151,30.339225,120.094603,5,8.399542235,30.33974,120.091369
20211026,65156,30.338806,120.09494,5,11.34305514,30.33974,120.091369
20211026,65201,30.338446,120.095228,5,9.728942835,30.33974,120.091369
20211026,65206,30.338135,120.095469,5,8.320584488,30.33974,120.091369
20211026,65211,30.337884,120.095684,5,6.941741898,30.33974,120.091369
20211026,65226,30.337494,120.095421,5,5.948258903,30.33974,120.091369
20211026,65231,30.337265,120.095115,5,7.773762494,30.33974,120.091369
20211026,65236,30.336996,120.094718,5,9.687686925,30.33974,120.091369
20211026,65241,30.336703,120.094278,5,10.66683133,30.336919,120.091697
20211026,65246,30.336416,120.093851,5,10.38790647,30.336919,120.091697
20211026,65251,30.336336,120.093553,5,5.990082536,30.336919,120.091697
20211026,65732,30.336378,120.094138,5,8.09780236,30.336919,120.091697
20211026,65737,30.33657,120.094448,5,7.323646007,30.336919,120.091697
20211026,65940,30.336868,120.094776,5,5.250328691,30.336919,120.091697
20211026,65945,30.337104,120.09507,5,7.70641237,30.33974,120.091369
20211026,65950,30.337331,120.095373,5,7.701124374,30.339048,120.09513
20211026,70037,30.337643,120.095769,5,4.51892302,30.339048,120.09513
20211026,70047,30.337608,120.095548,5,5.266748059,30.339048,120.09513
20211026,70052,30.33734,120.095203,5,8.909024502,30.339048,120.09513
20211026,70102,30.336554,120.094166,5,14.75009523,30.336919,120.091697
20211026,70107,30.336198,120.093596,5,13.50465389,30.336919,120.091697
20211026,70112,30.335891,120.092976,5,13.71968002,30.335304,120.091865
20211026,70117,30.335601,120.092231,5,15.6866538,30.335304,120.091865
20211026,70122,30.335219,120.091515,5,16.15672605,30.335304,120.091865
20211026,70127,30.334825,120.090943,5,14.04690447,30.331068,120.08934
20211026,70132,30.334639,120.090726,5,5.870168757,30.331068,120.08934
20211026,70137,30.33449,120.090591,5,4.206482744,30.331068,120.08934
20211026,70142,30.334383,120.090416,5,4.116474173,30.331068,120.08934
20211026,70152,30.334778,120.090073,5,8.374977498,30.331068,120.08934
20211026,70157,30.335339,120.089878,5,13.02542167,30.331068,120.08934
20211026,70202,30.33593,120.089583,5,14.31105094,30.331068,120.08934
20211026,70207,30.33649,120.089323,5,13.41649905,30.331068,120.08934
20211026,70329,30.336748,120.089026,5,4.666842964,30.331068,120.08934
20211026,70334,30.33658,120.088703,5,7.238383676,30.331068,120.08934
20211026,70339,30.33629,120.088245,5,10.90284534,30.331068,120.08934
20211026,70344,30.335924,120.087688,5,13.43686491,30.335418,120.086967
20211026,70349,30.335683,120.087001,5,14.23389722,30.336132,120.086387
20211026,70354,30.335458,120.086364,5,13.2109091,30.336132,120.086387
